Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-01-01,Bitcoin,23030.07,32431.59,3577.43
2023-01-01,Ethereum,17333.59,44341.29,3667.26
2023-01-01,Ripple,12297.03,44605.03,1477.79
2023-01-01,Litecoin,17531.15,44403.53,5470.12
2023-01-02,Bitcoin,26754.53,54092.0,6189.13
2023-01-02,Ethereum,43940.44,5365.37,3830.71
2023-01-02,Ripple,42702.98,58962.75,8013.26
2023-01-02,Litecoin,55937.69,42192.68,8818.88
2023-01-03,Bitcoin,43602.04,40982.22,6577.05
2023-01-03,Ethereum,7538.36,26049.16,3388.45
2023-01-03,Ripple,47587.83,24081.59,6205.15
2023-01-03,Litecoin,17692.4,16650.06,8152.09
2023-01-04,Bitcoin,26416.02,7818.96,3767.8
2023-01-04,Ethereum,23098.93,50439.27,3269.19
2023-01-04,Ripple,18101.6,49484.76,7854.51
2023-01-04,Litecoin,19594.43,16290.7,7158.64
2023-01-05,Bitcoin,16304.16,17131.98,5604.7
2023-01-05,Ethereum,51052.14,9514.48,2232.68
2023-01-05,Ripple,25510.19,45861.46,8044.75
2023-01-05,Litecoin,24475.74,53997.66,1747.37
2023-01-06,Bitcoin,18661.49,50732.22,1705.17
2023-01-06,Ethereum,56607.54,43764.6,1393.04
2023-01-06,Ripple,23980.67,20872.88,2584.85
2023-01-06,Litecoin,24556.97,50269.86,7481.24
2023-01-07,Bitcoin,22609.85,17036.69,2371.63
2023-01-07,Ethereum,27512.93,26886.96,7682.27
2023-01-07,Ripple,13930.76,52863.49,7365.37
2023-01-07,Litecoin,43468.7,56647.19,5147.13
2023-01-08,Bitcoin,52942.51,12655.85,1381.09
2023-01-08,Ethereum,34465.22,31135.57,4061.02
2023-01-08,Ripple,50454.85,50737.73,4592.32
2023-01-08,Litecoin,37007.31,35444.09,7844.53
2023-01-09,Bitcoin,59106.89,25498.46,2012.45
2023-01-09,Ethereum,49838.05,35624.04,9777.35
2023-01-09,Ripple,54101.73,8914.5,2086.03
2023-01-09,Litecoin,30263.38,32627.84,7094.45
2023-01-10,Bitcoin,31588.31,7864.12,5756.41
2023-01-10,Ethereum,25969.96,20281.09,2453.56
2023-01-10,Ripple,39798.47,28713.71,5515.48
2023-01-10,Litecoin,32758.57,32898.04,8601.23
2023-01-11,Bitcoin,31430.99,19315.63,8791.03
2023-01-11,Ethereum,7572.14,18862.48,8844.98
2023-01-11,Ripple,27493.37,46263.06,8359.82
2023-01-11,Litecoin,16848.55,34055.39,7636.83
2023-01-12,Bitcoin,18423.42,22914.54,1925.92
2023-01-12,Ethereum,8937.01,41110.32,7294.26
2023-01-12,Ripple,25758.77,27126.11,9224.06
2023-01-12,Litecoin,16415.24,53231.13,5937.33
2023-01-13,Bitcoin,56984.11,53184.54,3011.76
2023-01-13,Ethereum,22136.09,18326.75,9289.37
2023-01-13,Ripple,49918.94,38745.21,5687.68
2023-01-13,Litecoin,23929.03,36271.33,6398.68
2023-01-14,Bitcoin,48301.67,32416.44,2382.11
2023-01-14,Ethereum,5333.56,5526.3,7443.01
2023-01-14,Ripple,18116.71,15682.92,7380.33
2023-01-14,Litecoin,57028.85,31059.34,2391.12
2023-01-15,Bitcoin,29311.84,28338.91,4703.75
2023-01-15,Ethereum,31375.23,5334.84,6224.91
2023-01-15,Ripple,36502.53,43075.87,4735.83
