Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-01-26,Bitcoin,22111.33,56970.54,8269.56
2023-01-26,Ethereum,13248.98,46617.93,6822.73
2023-01-26,Ripple,14061.27,31885.89,1819.03
2023-01-26,Litecoin,36881.65,7195.06,3417.09
2023-01-27,Bitcoin,58903.52,26878.41,6783.93
2023-01-27,Ethereum,26110.73,59778.31,7205.05
2023-01-27,Ripple,23495.13,51013.6,9795.45
2023-01-27,Litecoin,39563.53,15764.53,4442.36
2023-01-28,Bitcoin,50799.88,19262.63,2808.66
2023-01-28,Ethereum,19767.02,54915.22,5904.83
2023-01-28,Ripple,22851.93,45981.73,4702.58
2023-01-28,Litecoin,10293.9,31022.58,7727.74
2023-01-29,Bitcoin,27485.05,14152.63,9823.79
2023-01-29,Ethereum,43324.87,46726.58,2565.76
2023-01-29,Ripple,37712.12,7050.31,9956.9
2023-01-29,Litecoin,51694.62,22970.26,5059.13
2023-01-30,Bitcoin,48691.67,48110.6,4085.27
2023-01-30,Ethereum,29520.89,28118.12,8916.62
2023-01-30,Ripple,45455.06,12276.64,5150.77
2023-01-30,Litecoin,55350.18,12616.73,7176.42
2023-01-31,Bitcoin,11585.04,55092.38,5773.11
2023-01-31,Ethereum,39509.64,48492.8,6957.92
2023-01-31,Ripple,16921.38,48408.74,3900.55
2023-01-31,Litecoin,58078.4,46211.86,1248.27
2023-02-01,Bitcoin,8467.82,37905.09,4882.3
2023-02-01,Ethereum,26180.61,59495.85,4289.14
2023-02-01,Ripple,37038.67,51609.38,2001.59
2023-02-01,Litecoin,27926.39,5929.09,6232.35
2023-02-02,Bitcoin,30031.46,5069.1,7325.37
2023-02-02,Ethereum,24904.19,8083.28,2180.03
2023-02-02,Ripple,50258.39,23880.13,1926.05
2023-02-02,Litecoin,28360.47,45917.92,2795.84
2023-02-03,Bitcoin,36007.13,53462.49,2413.73
2023-02-03,Ethereum,25526.22,34037.52,9779.55
2023-02-03,Ripple,9362.24,50202.4,7560.73
2023-02-03,Litecoin,26711.43,10096.65,1100.28
2023-02-04,Bitcoin,15688.21,31013.17,6302.3
2023-02-04,Ethereum,59137.71,24040.73,7961.76
2023-02-04,Ripple,33978.71,28899.87,9390.54
2023-02-04,Litecoin,46783.56,6231.14,7441.01
2023-02-05,Bitcoin,32812.52,28192.32,1963.36
2023-02-05,Ethereum,41329.97,30313.48,1050.6
2023-02-05,Ripple,34136.85,25216.37,6639.94
2023-02-05,Litecoin,26050.14,59855.68,3499.95
2023-02-06,Bitcoin,23548.15,13549.25,3897.44
2023-02-06,Ethereum,24950.4,51580.93,4045.49
2023-02-06,Ripple,17877.84,17231.82,1713.33
2023-02-06,Litecoin,22765.51,27519.03,9684.02
2023-02-07,Bitcoin,38708.95,53754.3,3244.6
2023-02-07,Ethereum,33933.63,15221.02,4849.78
2023-02-07,Ripple,42007.8,16625.43,1617.84
2023-02-07,Litecoin,13512.91,15584.64,3215.81
2023-02-08,Bitcoin,23304.78,35755.01,4775.8
2023-02-08,Ethereum,22641.84,49407.31,8035.28
2023-02-08,Ripple,41220.41,5347.58,6946.99
2023-02-08,Litecoin,52166.88,30890.86,1605.07
2023-02-09,Bitcoin,10247.22,16305.01,1145.42
2023-02-09,Ethereum,56512.26,49911.61,7960.29
2023-02-09,Ripple,57920.09,14589.48,5150.65
2023-02-09,Litecoin,59186.37,43385.04,9836.94
2023-02-10,Bitcoin,25416.36,59943.57,5646.63
2023-02-10,Ethereum,48979.55,47763.0,7334.77
2023-02-10,Ripple,37872.61,30857.88,7701.76
2023-02-10,Litecoin,47332.15,11346.0,8356.68
2023-02-11,Bitcoin,33257.76,8090.23,3020.04
2023-02-11,Ethereum,51033.26,6747.16,3930.81
2023-02-11,Ripple,47874.52,17669.26,8959.07
2023-02-11,Litecoin,21875.58,59474.22,2412.88
2023-02-12,Bitcoin,5325.88,5433.12,8698.75
2023-02-12,Ethereum,39903.23,53982.14,7816.15
2023-02-12,Ripple,34607.66,29304.77,9924.46
2023-02-12,Litecoin,14372.95,57535.19,2300.75
2023-02-13,Bitcoin,17052.47,58931.94,9111.28
2023-02-13,Ethereum,9577.25,7737.3,7756.89
2023-02-13,Ripple,53883.92,14974.96,2594.0
2023-02-13,Litecoin,23637.68,36038.81,9839.43
2023-02-14,Bitcoin,53130.27,38318.74,9546.83
2023-02-14,Ethereum,17374.65,31732.95,9483.27
2023-02-14,Ripple,51498.87,9012.13,5579.86
2023-02-14,Litecoin,57943.7,27920.27,5559.36
2023-02-15,Bitcoin,26657.81,39994.28,4134.74
2023-02-15,Ethereum,50792.5,40772.54,5029.6
2023-02-15,Ripple,46136.29,47601.59,9297.14
2023-02-15,Litecoin,51045.43,26094.62,2945.87
2023-02-16,Bitcoin,42628.58,10627.94,1109.54
2023-02-16,Ethereum,25097.17,37735.8,9992.38
2023-02-16,Ripple,35289.34,34670.62,8697.16
2023-02-16,Litecoin,27205.63,50652.29,2561.43
2023-02-17,Bitcoin,37560.39,54708.58,4993.18
2023-02-17,Ethereum,8915.21,39411.12,8269.21
2023-02-17,Ripple,43410.43,46438.01,6373.04
2023-02-17,Litecoin,59154.22,27121.04,4179.38
2023-02-18,Bitcoin,17473.62,37350.25,5295.06
2023-02-18,Ethereum,9866.13,25490.39,3400.84
2023-02-18,Ripple,56439.15,52109.53,8923.56
2023-02-18,Litecoin,35298.0,38944.34,9121.98
2023-02-19,Bitcoin,29929.49,29139.76,2984.0
2023-02-19,Ethereum,53255.5,23579.41,6247.54
2023-02-19,Ripple,54485.75,27930.25,1305.47
2023-02-19,Litecoin,22662.72,5761.74,8028.3
